id,component_id,name,description,tag,scope,investigate_days,procure_days,repair_days,capex,opex,probability,a,b
1,2,Failure of pumps during dewatering resulting in ex,Failure of pumps during dewatering resulting in ex,tag 1,parent,0,90,0,0,55000,triangular,32873,273938
2,2,Each Generator has its own equipment  pumping func,Each Generator has its own equipment  pumping func,tag 2,parent,0,90,0,0,25000,triangular,21902,35612
3,2,There is no plant SCADA only monitoring SCADA for ,There is no plant SCADA only monitoring SCADA for ,tag 3,parent,0,90,0,200000,0,triangular,30145,32873
4,2,Failure of obsolescent system control equipment eg,Failure of obsolescent system control equipment eg,tag 4,parent,0,365,365,250000,0,triangular,10958,16437
5,2,Unavailability of unit due to obsolescence of equi,Unavailability of unit due to obsolescence of equi,tag 5,parent,0,365,365,20000000,0,triangular,0,2740
6,2,Unavailability of unit due to obsolescence of equi,Unavailability of unit due to obsolescence of equi,tag 6,parent,0,365,365,20000000,0,triangular,0,10958
7,2,Failure of obsolete control card requiring a procu,Failure of obsolete control card requiring a procu,tag 7,parent,0,365,1,5000000,0,triangular,2740,5479
8,2,Failure of obsolete breaker requiring a procuremen,Failure of obsolete breaker requiring a procuremen,tag 8,parent,0,365,5,5000000,0,triangular,5479,16437
9,2,Failure of thyristors and fuses would require to b,Failure of thyristors and fuses would require to b,tag 9,parent,0,5,1,0,7500,triangular,5479,16437
10,2,Failure of relay to adequately protect Generator d,Failure of relay to adequately protect Generator d,tag 10,parent,0,365,365,250000,0,triangular,10369,13697
11,2,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 11,parent,0,90,5,0,175000,triangular,10369,13697
12,2,Failure of relay to adequately protect Generator d,Failure of relay to adequately protect Generator d,tag 12,parent,0,365,365,250000,0,triangular,10369,13697
13,2,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 13,parent,0,90,5,0,175000,triangular,10369,13697
14,2,Uncontrolled application of brake pads during oper,Uncontrolled application of brake pads during oper,tag 14,parent,0,90,5,10000,30000,triangular,166104,219424
15,2,Failure of brakes and jacking limit switches resul,Failure of brakes and jacking limit switches resul,tag 15,parent,0,5,0,0,7500,triangular,52049,54788
16,2,Failure of heat exchanger tubing requiring removal,Failure of heat exchanger tubing requiring removal,tag 16,parent,0,90,5,0,20000,triangular,52049,54788
17,2,Failure of at least 2 fans requiring replacement,Failure of at least 2 fans requiring replacement,tag 17,parent,0,90,2,0,15000,triangular,6164,8219
18,2,Old and obsolete  needs to be replaced. Not all se,Old and obsolete  needs to be replaced. Not all se,tag 18,parent,0,90,0,0,25000,triangular,104141,120533
19,2,Failure of speed sensing device resulting in inabi,Failure of speed sensing device resulting in inabi,tag 19,parent,0,90,0,0,15000,triangular,159733,191757
20,2,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 20,parent,0,365,5,0,220000,triangular,123272,164363
21,2,Failure of all temperature instruments resulting i,Failure of all temperature instruments resulting i,tag 21,parent,0,90,0,0,15000,triangular,13700,45212
22,2,Loosening of windings leading to rotor earth fault,Loosening of windings leading to rotor earth fault,tag 22,parent,0,365,25,0,300000,triangular,28490,43830
23,2,Failure of flexible pole connections resulting in ,Failure of flexible pole connections resulting in ,tag 23,parent,0,5,4,0,10000,triangular,28490,43830
24,2,Cracks developing in the rotor pole end plates and,Cracks developing in the rotor pole end plates and,tag 24,parent,0,365,540,0,1500000,triangular,8761,16437
25,2,Failure of rim yoke resulting in pole movement and,Failure of rim yoke resulting in pole movement and,tag 25,parent,0,365,365,80000000,0,triangular,20273,23011
26,2,Failure of rim yoke resulting in unscheduled outag,Failure of rim yoke resulting in unscheduled outag,tag 26,parent,0,365,365,75000000,0,triangular,20273,23011
27,2,Failure of brushgear that could result in a flasho,Failure of brushgear that could result in a flasho,tag 27,parent,0,90,90,0,50000,triangular,52071,98618
28,2,Failure of frame through cracking leading to loss ,Failure of frame through cracking leading to loss ,tag 28,parent,0,365,150,13500000,750000,triangular,273938,273938
29,2,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 29,parent,0,365,30,0,375000,triangular,11510,14245
30,2,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 30,parent,0,365,150,13500000,750000,triangular,11510,14245
31,2,Failure of the core/lamination stacks leading to i,Failure of the core/lamination stacks leading to i,tag 31,parent,0,365,365,27500000,0,triangular,11510,14245
32,2,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 32,parent,0,365,150,13500000,0,triangular,12054,13697
33,2,Failure of windings resulting in a repairable phas,Failure of windings resulting in a repairable phas,tag 33,parent,0,365,150,0,450000,triangular,12054,13697
34,2,Failure of windings resulting in a failure of core,Failure of windings resulting in a failure of core,tag 34,parent,0,365,365,35000000,0,triangular,12054,13697
35,2,Failure of all temperature transmitters leading to,Failure of all temperature transmitters leading to,tag 35,parent,0,5,0,0,1500,triangular,10958,10958
36,2,Failure of remaining RTDs that are presently funct,Failure of remaining RTDs that are presently funct,tag 36,parent,0,365,150,8000000,0,triangular,12054,13697
37,2,Increased vibration due to dislodging of thrust bl,Increased vibration due to dislodging of thrust bl,tag 37,parent,0,365,60,1000000,0,triangular,273938,273938
38,2,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 38,parent,0,90,14,0,175000,triangular,39447,54788
39,2,Failure of all temperature instruments resulting i,Failure of all temperature instruments resulting i,tag 39,parent,0,90,0,0,15000,triangular,21368,28490
40,2,Failure of hydraulic system leading to inability t,Failure of hydraulic system leading to inability t,tag 40,parent,0,365,90,0,500000,triangular,273938,273938
41,2,Failure of sliding and link arm bushes resulting i,Failure of sliding and link arm bushes resulting i,tag 41,parent,0,90,21,0,80000,triangular,273938,273938
42,2,Failure of servo motors (seals  valves) leading to,Failure of servo motors (seals  valves) leading to,tag 42,parent,0,90,30,0,200000,triangular,186196,191757
43,2,Failure of bypass penstock side isolating valve in,Failure of bypass penstock side isolating valve in,tag 43,parent,0,90,30,0,45000,triangular,123272,164363
44,2,Failure of bypass penstock side isolating valve in,Failure of bypass penstock side isolating valve in,tag 44,parent,0,90,30,0,30000,triangular,175320,219150
45,2,Failure of hydraulic system leading to inability t,Failure of hydraulic system leading to inability t,tag 45,parent,0,365,45,875000,0,triangular,30818,41091
46,2,Failure of maintenance seal requiring unscheduled ,Failure of maintenance seal requiring unscheduled ,tag 46,parent,0,365,30,0,500000,triangular,47255,63006
47,2,Failure of service seal causing poor seal with una,Failure of service seal causing poor seal with una,tag 47,parent,0,365,30,0,500000,triangular,36982,49309
48,2,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 48,parent,0,5,0,0,5000,triangular,14177,18902
49,2,Failure of servo motors (seals  valves) leading to,Failure of servo motors (seals  valves) leading to,tag 49,parent,0,90,45,0,75000,triangular,14177,18902
50,2,Seizure of trunnions resulting in valve not being ,Seizure of trunnions resulting in valve not being ,tag 50,parent,0,365,45,0,450000,triangular,47255,63006
51,2,Failure of seals leading to excessive leakage and ,Failure of seals leading to excessive leakage and ,tag 51,parent,0,90,0,0,40000,triangular,14177,18902
52,2,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 52,parent,0,90,0,0,15000,triangular,8219,10958
53,2,Failure of rotork vales resulting in inability to ,Failure of rotork vales resulting in inability to ,tag 53,parent,0,90,0,45000,0,triangular,9862,13149
54,2,Failure of fans requiring replacement,Failure of fans requiring replacement,tag 54,parent,0,90,0,0,12000,triangular,6164,8219
55,2,Complete de-lamination of white metal leading to f,Complete de-lamination of white metal leading to f,tag 55,parent,0,90,30,0,95000,triangular,90400,120533
56,2,Failure of instrumentation resulting in unplanned ,Failure of instrumentation resulting in unplanned ,tag 56,parent,0,5,0,0,10000,triangular,15820,21094
57,2,Failure of mechanism or coating requiring speciali,Failure of mechanism or coating requiring speciali,tag 57,parent,0,5,21,0,3500,triangular,18697,24929
58,2,Failure of obsolete relay leading to requirement f,Failure of obsolete relay leading to requirement f,tag 58,parent,0,90,10,150000,0,triangular,10273,13697
59,2,Failure of relay to adequately protect Pony Motor ,Failure of relay to adequately protect Pony Motor ,tag 59,parent,0,365,60,0,3500000,triangular,58760,78347
60,2,Rotor winding insulation failure leading to unsche,Rotor winding insulation failure leading to unsche,tag 60,parent,0,365,30,1000000,0,triangular,96563,128751
61,2,Failure of brushgear that could result in a flasho,Failure of brushgear that could result in a flasho,tag 61,parent,0,365,14,0,2500000,triangular,96563,128751
62,2,Failure of frame through cracking leading to loss ,Failure of frame through cracking leading to loss ,tag 62,parent,0,90,7,0,130000,triangular,234217,312289
63,2,Failure of the core/lamination stacks leading to o,Failure of the core/lamination stacks leading to o,tag 63,parent,0,90,90,0,75000,triangular,234217,312289
